datetime,C_B1,C_B2,C_B3,C_B4,C_B5,L_B1,L_B2,L_B3,L_B4,L_B5,W_B1,W_B2,W_B3,W_B4,W_B5,LW_B1,LW_B2,LW_B3,LW_B4,LW_B5
1/3/2006 1:00,0.0883577,0.0695551,0.103992,0.108053,0.0576597,0.0179235,0.0478857,0.1351,0.0722106,0.0860745,0.100378,0.034215,0.061814,0.113837,0.0863129,0.0848623,0.0889529,0.0948819,0.0872639,0.0959218
1/3/2006 2:00,0.0977601,0.0659873,0.114789,0.111044,0.0586284,0.0276653,0.0457169,0.122244,0.0836868,0.0994691,0.091754,0.0434424,0.066011,0.119034,0.0962564,0.0655019,0.0955603,0.101033,0.085576,0.0948628
1/3/2006 3:00,0.11659,0.0682017,0.227251,0.14017,0.0636811,0.112903,0.0546451,0.227498,0.115729,0.111243,0.139919,0.0551134,0.0557192,0.132729,0.099634,0.145212,0.0890471,0.108557,0.0960626,0.100789
1/3/2006 4:00,0.0444925,0.0653073,0.077718,0.0691564,0.0751606,-0.0108333,0.05191,0.103967,0.0252976,0.110859,0.0546295,0.0132628,0.0661497,0.0705384,0.0917497,0.04645,0.106977,0.0853193,0.129813,0.107668
1/3/2006 5:00,0.0256593,0.0277812,0.0457357,0.0419298,0.0294918,-0.00633354,0.0257732,0.0719612,0.0240766,0.0577622,0.0372097,0.00815193,0.033844,0.0666964,0.057815,0.0204908,0.0575793,0.0562922,0.0486787,0.0594731
1/3/2006 6:00,0.035216,0.0146325,0.0542467,0.0566997,0.0223224,-0.0107207,0.0361262,0.0817644,0.0381925,0.0608276,0.0431924,0.0105188,0.0133713,0.0797351,0.0397716,0.0427818,0.0491418,0.0598535,0.0356078,0.0637601
1/3/2006 7:00,0.0501692,0.0296167,0.0630028,0.0678371,0.0277337,-0.0169461,0.0130224,0.0789165,0.0331458,0.0479545,0.0547727,0.00988991,0.0334648,0.0783112,0.0460588,0.0434845,0.04849,0.0694037,0.0446056,0.070402
1/3/2006 8:00,0.0270186,0.0333999,0.0538739,0.0508464,0.0340216,0.00208575,0.0189784,0.0825381,0.0298762,0.0618205,0.0497118,-0.00260716,0.0502041,0.0704571,0.0616307,0.0370417,0.0547053,0.0526736,0.0490495,0.0637372
1/3/2006 9:00,0.0436765,0.0211315,0.0637897,0.0500385,0.0196692,-0.0260783,0.0142048,0.0859708,0.0244417,0.0441105,0.0497568,-0.00469258,0.0285604,0.0720695,0.0474629,0.0246797,0.0458847,0.0581245,0.0211129,0.0564841
1/3/2006 10:00,0.120865,0.0279693,0.112274,0.151393,0.0303727,-0.106189,0.0283431,0.162432,0.10586,0.0832941,0.12539,0.0594174,0.0381511,0.182696,0.083605,0.0942178,0.0429489,0.0811449,0.00223401,0.0571132
1/3/2006 11:00,0.209608,0.138525,0.1882,0.229997,0.141076,0.0522934,0.118377,0.192809,0.190801,0.268438,0.185175,0.14838,0.142269,0.278437,0.222638,0.120658,0.106817,0.210652,0.111109,0.17099
1/3/2006 12:00,0.253973,0.143457,0.285783,0.252265,0.120074,0.15612,0.127946,0.282223,0.224109,0.191314,0.216216,0.175096,0.148412,0.301301,0.198499,0.213362,0.140772,0.193298,0.162816,0.17556
1/3/2006 13:00,0.174341,0.170705,0.229698,0.185043,0.132857,0.11229,0.134352,0.203571,0.135152,0.205025,0.187868,0.0917792,0.131951,0.204343,0.195294,0.159951,0.180473,0.183925,0.189627,0.178261
1/3/2006 14:00,0.148753,0.120763,0.182096,0.140319,0.104236,0.0745788,0.111998,0.176569,0.121301,0.174907,0.141982,0.0690248,0.111913,0.150342,0.18254,0.132944,0.142988,0.163845,0.128913,0.160655
1/3/2006 15:00,0.149224,0.0832502,0.190982,0.149157,0.0796727,0.0575341,0.0941552,0.194629,0.115793,0.14881,0.125174,0.0753656,0.0888427,0.148925,0.139327,0.130049,0.117054,0.128998,0.104247,0.145772
1/3/2006 16:00,0.107901,0.106613,0.159453,0.116147,0.0900483,0.0445105,0.0929885,0.172258,0.0809753,0.160141,0.0976984,0.0345725,0.0458636,0.109557,0.147173,0.0973507,0.134341,0.132756,0.103863,0.152221
1/3/2006 17:00,,,0.0709489,0.0583433,0.0443446,-0.0312975,0.0406211,0.108916,0.0385145,0.101919,,,-0.00175354,0.0599241,0.0863188,,0.0941083,0.0748981,0.0696229,0.0955287
